action,reward,id
1,1,id0
1,1,id0
1,0,id0
1,0,id0
0,0,id0
0,0,id0
1,0,id0
1,0,id0
1,1,id0
1,1,id0
0,1,id0
0,0,id0
0,0,id0
1,1,id0
1,1,id0
1,0,id0
1,0,id0
1,0,id0
1,1,id0
1,0,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,0,id0
1,1,id0
1,0,id0
1,1,id0
1,1,id0
1,0,id0
1,1,id0
1,0,id0
1,0,id0
1,0,id0
1,0,id0
0,0,id0
0,0,id0
0,0,id0
1,0,id0
1,0,id0
1,1,id0
0,0,id0
0,0,id0
0,0,id0
1,1,id0
1,0,id0
0,0,id0
0,0,id0
1,1,id0
1,1,id0
1,0,id0
1,1,id0
1,0,id0
1,0,id0
1,1,id0
0,0,id0
0,0,id0
1,1,id0
1,0,id0
1,0,id0
1,1,id0
1,0,id0
1,0,id0
0,0,id0
1,1,id0
1,1,id0
0,0,id0
1,1,id0
1,1,id0
1,0,id0
0,0,id0
0,0,id0
1,1,id0
1,0,id0
1,1,id0
1,0,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,0,id0
1,0,id0
1,1,id0
0,0,id0
0,0,id0
0,0,id0
0,0,id0
1,0,id0
1,1,id0
1,0,id0
1,1,id0
1,1,id0
1,1,id0
1,0,id0
1,1,id0
0,0,id0
1,0,id0
1,1,id0
1,1,id0
1,1,id0
1,1,id0
1,0,id0
0,1,id0
0,0,id0
0,0,id0
0,0,id0
1,0,id0
1,1,id0
1,0,id0
1,0,id0
0,0,id0
0,0,id0
1,0,id0
1,1,id0
1,1,id0
1,0,id0
1,1,id0
0,0,id0
1,1,id0
1,0,id0
1,0,id0
1,1,id0
0,0,id0
1,1,id0
1,1,id0
1,0,id0
0,0,id0
1,0,id0
0,0,id0
1,0,id0
0,0,id0
1,0,id0
0,0,id0
0,0,id0
1,1,id0
0,0,id0
1,1,id0
1,0,id0
1,0,id0
1,0,id0
1,1,id0
1,1,id0
1,0,id0
1,1,id1
1,0,id1
0,1,id1
0,0,id1
1,0,id1
0,0,id1
1,0,id1
0,0,id1
0,0,id1
1,0,id1
0,0,id1
1,0,id1
0,0,id1
1,0,id1
0,0,id1
1,1,id1
0,0,id1
0,0,id1
0,0,id1
1,1,id1
1,1,id1
1,0,id1
0,0,id1
1,1,id1
1,1,id1
1,0,id1
1,0,id1
0,0,id1
1,1,id1
1,1,id1
0,1,id1
1,1,id1
1,0,id1
1,0,id1
0,0,id1
1,0,id1
1,1,id1
0,0,id1
1,1,id1
1,0,id1
1,1,id1
0,0,id1
1,0,id1
1,0,id1
1,1,id1
1,0,id1
0,0,id1
0,0,id1
1,1,id1
0,0,id1
1,1,id1
1,1,id1
0,0,id1
1,1,id1
1,1,id1
1,0,id1
1,1,id1
1,1,id1
1,1,id1
1,0,id1
1,1,id1
1,1,id1
1,0,id1
1,0,id1
0,0,id1
1,1,id1
1,0,id1
1,0,id1
0,0,id1
1,1,id1
1,1,id1
1,0,id1
1,0,id1
1,0,id1
1,0,id1
0,0,id1
0,0,id1
1,1,id1
1,0,id1
1,1,id1
0,0,id1
1,0,id1
0,0,id1
1,1,id1
0,0,id1
1,0,id1
1,1,id1
0,0,id1
1,1,id1
1,0,id1
1,1,id1
1,1,id1
1,1,id1
0,0,id1
1,0,id1
0,1,id1
1,1,id1
1,1,id1
0,0,id1
1,1,id1
1,0,id1
0,0,id1
1,1,id1
0,0,id1
1,1,id1
1,1,id1
1,0,id1
1,0,id1
1,1,id1
1,0,id1
0,0,id1
1,0,id1
1,1,id1
1,0,id1
0,1,id1
1,1,id1
0,0,id1
0,1,id1
1,1,id1
1,0,id1
1,0,id1
1,0,id1
0,0,id1
1,1,id1
0,0,id1
1,1,id1
0,0,id1
1,0,id1
0,0,id1
1,1,id1
0,0,id1
1,0,id1
0,0,id1
1,1,id1
0,1,id1
1,0,id1
0,0,id1
1,1,id1
1,0,id1
1,0,id1
1,0,id1
0,1,id1
1,1,id1
0,0,id1
1,0,id1
1,0,id1
0,0,id1
0,0,id1
0,0,id1
1,0,id1
0,0,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
1,1,id2
0,0,id2
1,0,id2
0,1,id2
1,1,id2
0,0,id2
1,0,id2
0,0,id2
1,1,id2
0,1,id2
1,0,id2
1,1,id2
0,1,id2
0,0,id2
1,0,id2
0,1,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
0,1,id2
0,1,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
0,1,id2
0,1,id2
0,1,id2
0,1,id2
0,0,id2
0,1,id2
0,1,id2
0,1,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
0,1,id2
0,1,id2
1,0,id2
0,1,id2
1,0,id2
0,1,id2
1,0,id2
0,1,id2
0,0,id2
0,0,id2
1,0,id2
0,1,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
0,1,id2
0,0,id2
1,0,id2
0,1,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
0,1,id2
0,1,id2
0,1,id2
1,0,id2
0,1,id2
0,1,id2
1,0,id2
0,1,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
0,1,id2
0,1,id2
1,0,id2
0,0,id2
0,1,id2
1,0,id2
0,1,id2
0,0,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
0,0,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
1,1,id2
0,1,id2
1,1,id2
0,0,id2
1,0,id2
0,0,id2
1,1,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
0,0,id2
1,0,id2
1,0,id2
1,0,id2
0,1,id2
1,0,id2
0,0,id2
0,0,id2
1,0,id3
1,0,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
1,1,id3
0,1,id3
0,1,id3
0,0,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,0,id3
0,0,id3
1,0,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
0,0,id3
1,0,id3
0,1,id3
0,0,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
0,1,id3
0,0,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
1,0,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
0,0,id3
1,0,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,0,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,0,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
0,0,id3
0,0,id3
0,0,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
1,0,id3
0,0,id3
1,0,id3
1,0,id3
0,1,id3
0,0,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,1,id3
0,0,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
0,1,id3
0,1,id3
0,0,id3
0,0,id3
0,0,id3
0,0,id3
1,0,id3
0,1,id3
0,0,id3
0,0,id3
0,1,id3
1,0,id4
1,0,id4
1,0,id4
0,0,id4
1,0,id4
0,0,id4
1,0,id4
1,1,id4
0,0,id4
0,0,id4
1,1,id4
0,0,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
1,0,id4
1,1,id4
1,0,id4
0,0,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
0,1,id4
0,0,id4
0,0,id4
1,0,id4
0,1,id4
1,0,id4
1,0,id4
0,0,id4
1,0,id4
1,0,id4
0,0,id4
0,1,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
1,0,id4
1,0,id4
0,0,id4
0,1,id4
0,0,id4
1,0,id4
1,0,id4
0,1,id4
1,0,id4
0,0,id4
0,0,id4
1,0,id4
1,0,id4
0,0,id4
1,0,id4
1,0,id4
0,1,id4
1,0,id4
0,0,id4
0,1,id4
1,0,id4
0,1,id4
1,0,id4
0,1,id4
1,0,id4
0,1,id4
0,1,id4
1,1,id4
0,1,id4
1,0,id4
0,0,id4
1,1,id4
0,1,id4
1,0,id4
1,0,id4
0,0,id4
0,0,id4
1,0,id4
0,0,id4
1,0,id4
0,0,id4
0,0,id4
1,0,id4
0,0,id4
0,0,id4
1,0,id4
1,1,id4
0,1,id4
0,1,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
1,0,id4
0,1,id4
1,0,id4
0,0,id4
1,0,id4
1,0,id4
0,1,id4
1,1,id4
0,0,id4
1,0,id4
0,0,id4
0,1,id4
1,0,id4
0,1,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
1,0,id4
0,0,id4
0,0,id4
1,0,id4
1,1,id4
0,1,id4
1,1,id4
0,1,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
0,1,id4
1,0,id4
0,0,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
0,1,id4
1,0,id4
0,1,id4
1,0,id4
0,0,id4
0,1,id4
0,1,id4
1,0,id4
0,1,id4
0,0,id4
0,0,id4
1,0,id4
1,0,id4
0,0,id4
1,0,id4
0,1,id4
1,0,id5
0,0,id5
1,0,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,0,id5
0,1,id5
0,1,id5
0,0,id5
0,0,id5
0,0,id5
0,1,id5
0,0,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,0,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
1,0,id5
0,0,id5
0,1,id5
0,0,id5
0,0,id5
0,1,id5
0,1,id5
1,0,id5
0,0,id5
0,0,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,0,id5
0,0,id5
0,0,id5
0,1,id5
0,0,id5
0,0,id5
0,0,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,0,id5
0,0,id5
0,1,id5
0,1,id5
0,0,id5
0,1,id5
0,1,id5
0,1,id5
0,0,id5
0,0,id5
0,0,id5
